idCircuito,nome,localita,lunghezzaInMetri,numeroCurveSinistra,numeroCurveDestra,lunghezzaRettilineoInMetri
001,Losail International Circuit,"Lusail, Qatar",5380,6,10,1068
002,Mandalika International Street Circuit,"Mandalika, Indonesia",4313,6,11,507
003,Autódromo Termas de Río Hondo,"Termas de Rio Hondo, Argentina",4805,9,5,1076
004,Circuit of the Americas,"Austin, Stati Uniti",5514,11,9,1010
005,Autodrómo Internacional do Algarve,"Portimão, Portogallo",4592,7,9,969
006,Circuito de Jerez - Ángel Nieto,"Jerez de la Frontera, Spagna",4424,5,8,610
007,Bugatti Circuit,"Le Mans, Francia",4185,5,9,674
008,Autodromo Internazionale del Mugello,"Scarperia e San Piero, Italia",5245,6,9,1141
009,Circuit de Barcelona-Catalunya,"Montmeló, Spagna",4657,6,8,1047
010,Sachsenring,"Hohenstein-Ernstthal, Germania",3671,10,3,700
011,TT Circuit Assen,"Assen, Paesi Bassi",4542,6,12,487
012,Silverstone Circuit,"Silverstone, Regno Unito",5900,8,10,770
013,Red Bull Ring,"Spielberg, Austria",4318,3,7,626
014,Misano World Circuit Marco Simoncelli,"Misano Adriatico, Italia",4226,6,10,530
015,MotorLand Aragón,"Alcañiz, Spagna",5078,10,7,968
016,Mobility Resort Motegi,"Motegi, Giappone",4801,6,8,762
017,Chang International Circuit,"Buriram, Tailandia",4554,5,7,1000
018,Phillip Island Grand Prix Circuit,"Phillip Island, Australia",4445,7,5,900
019,Sepang International Circuit,"Sepang, Malesia",5543,5,10,920
020,Circuit de la Comunitat Valenciana Ricardo Tormo,"Cheste, Spagna",4005,9,5,876
