pilota,classe,team,posizioneCalendario,anno,numeroDiGara,tipoIscrizione,risultato,costruttore,modello
000001,MotoGP,Petronas Sprinta Racing,1,2021,46,Titolare,0000922,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,2,2021,46,Titolare,0001004,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,3,2021,46,Titolare,0001085,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,4,2021,46,Titolare,0001161,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,5,2021,46,Titolare,0001237,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,6,2021,46,Titolare,0001317,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,7,2021,46,Titolare,0001403,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,8,2021,46,Titolare,0001480,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,9,2021,46,Titolare,0001566,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,10,2021,46,Titolare,0001635,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,11,2021,46,Titolare,0001707,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,12,2021,46,Titolare,0001793,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,13,2021,46,Titolare,0001871,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,14,2021,46,Titolare,0001951,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,15,2021,46,Titolare,0002031,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,16,2021,46,Titolare,0002102,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,17,2021,46,Titolare,0002185,003,YZR-M1
000001,MotoGP,Petronas Sprinta Racing,18,2021,46,Titolare,0002262,003,YZR-M1
000002,MotoGP,Repsol Honda Team,1,2022,93,Titolare,0000005,002,RC213V
000002,MotoGP,Repsol Honda Team,2,2022,93,Titolare,,002,RC213V
000002,MotoGP,Repsol Honda Team,3,2021,93,Titolare,0001073,002,RC213V
000002,MotoGP,Repsol Honda Team,4,2021,93,Titolare,0001154,002,RC213V
