costruttore,classe,anno,punti,posizioneClassifica
010,Moto2,2021,199,2
011,Moto2,2021,450,1
012,Moto2,2021,19,3
014,Moto2,2021,11,4
010,Moto2,2022,57,2
011,Moto2,2022,275,1
012,Moto2,2022,5,3
002,Moto3,2021,360,2
005,Moto3,2021,369,1
007,Moto3,2021,166,4
008,Moto3,2021,266,3
002,Moto3,2022,172,3
005,Moto3,2022,174,2
007,Moto3,2022,235,1
008,Moto3,2022,133,4
009,Moto3,2022,95,5
001,MotoGP,2021,357,1
002,MotoGP,2021,214,4
003,MotoGP,2021,309,2
004,MotoGP,2021,240,3
005,MotoGP,2021,205,5
006,MotoGP,2021,121,6
001,MotoGP,2022,246,1
002,MotoGP,2022,85,6
003,MotoGP,2022,172,2
004,MotoGP,2022,101,5
005,MotoGP,2022,121,4
006,MotoGP,2022,155,3
