classe,anno,pilota,eta,esperienza,puntiTotali,puntiValidi,posizioneClassifica
Moto2,2021,000014,22,2,214,214,3
Moto2,2021,000023,23,5,311,311,1
Moto2,2021,000025,20,0,307,307,2
Moto2,2021,000026,22,2,161,161,7
Moto2,2021,000032,19,0,4,4,30
Moto2,2021,000033,16,0,13,13,25
Moto2,2021,000035,28,0,50,50,15
Moto2,2021,000036,20,0,51,51,14
Moto2,2021,000037,30,6,190,190,4
Moto2,2021,000038,25,4,106,106,9
Moto2,2021,000039,21,1,164,164,6
Moto2,2021,000040,24,0,28,28,21
Moto2,2021,000041,25,3,30,30,20
Moto2,2021,000045,22,2,37,37,18
Moto2,2021,000046,20,0,120,120,8
Moto2,2021,000047,24,4,59,59,13
Moto2,2021,000048,24,1,10,10,27
Moto2,2021,000049,28,9,98,98,10
Moto2,2021,000051,19,0,89,89,12
Moto2,2021,000054,22,3,46,46,16
Moto2,2021,000055,19,1,0,0,41
Moto2,2021,000056,23,4,174,174,5
Moto2,2021,000058,17,0,2,2,32
Moto2,2021,000060,22,0,0,0,42
Moto2,2021,000061,22,4,36,36,19
Moto2,2021,000062,34,12,16,16,24
Moto2,2021,000063,23,1,39,39,17
Moto2,2021,000065,18,0,0,0,33
Moto2,2021,000084,26,0,0,0,37
Moto2,2021,000103,23,3,0,0,40
Moto2,2021,000109,23,0,0,0,36
Moto2,2021,000115,21,0,0,0,44
Moto2,2021,000118,23,3,16,16,23
Moto2,2021,000134,21,0,0,0,34
Moto2,2021,000135,21,2,12,12,26
Moto2,2021,000136,28,7,5,5,29
Moto2,2021,000137,34,13,27,27,22
Moto2,2021,000138,28,3,0,0,43
Moto2,2021,000139,22,0,0,0,39
Moto2,2021,000140,23,1,0,0,45
Moto2,2021,000141,24,6,93,93,11
Moto2,2021,000142,24,7,3,3,31
Moto2,2021,000143,21,0,0,0,35
Moto2,2021,000144,27,8,9,9,28
Moto2,2021,000145,25,0,0,0,38
Moto2,2022,000031,26,1,7,7,24
Moto2,2022,000032,20,0,35,35,18
Moto2,2022,000033,17,1,37,37,17
Moto2,2022,000034,20,0,3,3,29
Moto2,2022,000035,29,1,40,40,15
Moto2,2022,000036,21,1,104,104,5
Moto2,2022,000037,31,7,51,51,13
Moto2,2022,000038,26,5,62,62,11
Moto2,2022,000039,22,2,116,116,4
Moto2,2022,000040,25,1,45,45,14
Moto2,2022,000041,26,4,76,76,8
Moto2,2022,000042,36,13,1,1,30
Moto2,2022,000043,20,0,14,14,21
Moto2,2022,000044,23,0,6,6,26
Moto2,2022,000045,23,3,69,69,10
Moto2,2022,000046,21,1,145,145,3
Moto2,2022,000047,25,5,97,97,6
Moto2,2022,000048,25,2,10,10,22
Moto2,2022,000049,29,10,88,88,7
Moto2,2022,000050,20,0,33,33,19
Moto2,2022,000051,20,1,146,146,1
Moto2,2022,000052,26,0,0,0,33
Moto2,2022,000053,25,0,6,6,25
Moto2,2022,000054,23,4,55,55,12
Moto2,2022,000055,20,1,0,0,35
Moto2,2022,000056,24,5,146,146,2
Moto2,2022,000057,18,0,75,75,9
Moto2,2022,000058,18,1,16,16,20
Moto2,2022,000059,16,0,0,0,32
Moto2,2022,000060,23,0,4,4,28
Moto2,2022,000061,23,5,9,9,23
Moto2,2022,000062,35,13,0,0,31
Moto2,2022,000063,24,2,5,5,27
Moto2,2022,000064,20,1,0,0,34
Moto2,2022,000065,19,1,39,39,16
Moto3,2021,000024,23,6,136,136,7
Moto3,2021,000031,25,8,160,160,5
Moto3,2021,000043,19,3,71,71,16
Moto3,2021,000050,19,3,86,86,12
Moto3,2021,000052,25,9,152,152,6
Moto3,2021,000053,24,7,60,60,19
Moto3,2021,000057,17,0,259,259,1
Moto3,2021,000066,18,2,188,188,3
Moto3,2021,000067,18,1,72,72,15
Moto3,2021,000068,18,2,40,40,21
Moto3,2021,000069,17,0,125,125,8
Moto3,2021,000070,17,0,0,0,36
Moto3,2021,000071,15,0,0,0,38
Moto3,2021,000073,20,4,216,216,2
Moto3,2021,000074,23,6,76,76,14
Moto3,2021,000075,25,8,110,110,10
Moto3,2021,000076,16,0,0,0,33
Moto3,2021,000077,19,2,29,29,23
Moto3,2021,000079,15,0,0,0,39
Moto3,2021,000080,19,0,3,3,30
Moto3,2021,000081,17,0,1,1,32
Moto3,2021,000084,26,11,77,77,13
Moto3,2021,000085,18,0,0,0,37
Moto3,2021,000086,20,5,120,120,9
Moto3,2021,000088,19,3,63,63,18
Moto3,2021,000092,21,4,64,64,17
Moto3,2021,000093,18,0,2,2,31
Moto3,2021,000094,19,2,47,47,20
Moto3,2021,000096,17,0,0,0,35
Moto3,2021,000097,17,1,7,7,27
Moto3,2021,000098,20,4,171,171,4
Moto3,2021,000099,16,0,4,4,28
Moto3,2021,000100,17,0,30,30,22
Moto3,2021,000101,17,2,95,95,11
Moto3,2021,000129,23,0,4,4,29
Moto3,2021,000130,18,2,15,15,25
Moto3,2021,000131,16,0,0,0,34
Moto3,2021,000132,19,1,27,27,24
Moto3,2021,000133,20,4,10,10,26
Moto3,2022,000066,19,3,182,182,1
Moto3,2022,000067,19,2,57,57,10
Moto3,2022,000068,19,3,64,64,9
Moto3,2022,000069,18,1,179,179,2
Moto3,2022,000070,18,1,5,5,26
Moto3,2022,000071,16,1,0,0,36
Moto3,2022,000072,16,0,0,0,27
Moto3,2022,000073,21,5,115,115,3
Moto3,2022,000074,24,7,94,94,7
Moto3,2022,000075,26,9,77,77,8
Moto3,2022,000076,17,1,8,8,25
Moto3,2022,000077,20,3,52,52,11
Moto3,2022,000078,17,0,0,0,37
Moto3,2022,000079,16,1,0,0,35
Moto3,2022,000080,20,1,0,0,31
Moto3,2022,000081,18,1,0,0,28
Moto3,2022,000082,18,0,16,16,24
Moto3,2022,000083,16,0,0,0,34
Moto3,2022,000084,27,12,24,24,19
Moto3,2022,000085,19,1,0,0,30
Moto3,2022,000086,21,6,113,113,4
Moto3,2022,000087,17,0,33,33,16
Moto3,2022,000088,20,4,18,18,22
Moto3,2022,000089,25,3,0,0,29
Moto3,2022,000090,16,0,32,32,17
Moto3,2022,000091,22,1,0,0,33
Moto3,2022,000092,22,5,44,44,14
Moto3,2022,000093,19,1,22,22,21
Moto3,2022,000094,20,3,51,51,12
Moto3,2022,000095,18,0,34,34,15
Moto3,2022,000096,18,1,16,16,23
Moto3,2022,000097,18,2,23,23,20
Moto3,2022,000098,21,5,107,107,5
Moto3,2022,000099,17,1,48,48,13
Moto3,2022,000100,18,2,28,28,18
Moto3,2022,000101,18,3,98,98,6
Moto3,2022,000151,16,0,0,0,32
MotoE,2021,000033,16,0,47,47,10
MotoE,2021,000044,22,1,79,79,6
MotoE,2021,000102,27,0,44,44,12
MotoE,2021,000103,23,1,13,13,17
MotoE,2021,000104,30,1,93,93,2
MotoE,2021,000105,24,2,86,86,3
MotoE,2021,000108,25,2,80,80,5
MotoE,2021,000109,23,0,62,62,8
MotoE,2021,000112,20,0,31,31,13
MotoE,2021,000113,24,2,21,21,16
MotoE,2021,000115,22,2,73,73,7
MotoE,2021,000116,33,1,100,100,1
MotoE,2021,000122,21,1,51,51,9
MotoE,2021,000123,26,0,27,27,15
MotoE,2021,000124,31,0,1,1,19
MotoE,2021,000125,32,0,45,45,11
MotoE,2021,000126,24,0,84,84,4
MotoE,2021,000127,31,0,12,12,18
MotoE,2021,000128,23,0,29,29,14
MotoE,2022,000102,28,1,57.5,57.5,8
MotoE,2022,000103,24,2,7,7,20
MotoE,2022,000104,31,2,158,158,1
MotoE,2022,000105,25,3,112.5,112.5,3
MotoE,2022,000106,18,0,0,0,23
MotoE,2022,000107,24,0,9,9,18
MotoE,2022,000108,26,3,126.5,126.5,2
MotoE,2022,000109,24,1,79,79,5
MotoE,2022,000110,36,0,26.5,26.5,14
MotoE,2022,000111,27,0,34.5,34.5,12
MotoE,2022,000112,21,1,48.5,48.5,9
MotoE,2022,000113,25,3,12,12,16
MotoE,2022,000114,21,0,35.5,35.5,11
MotoE,2022,000115,23,3,98,98,4
MotoE,2022,000116,34,2,27,27,13
MotoE,2022,000117,37,0,6,6,21
MotoE,2022,000118,24,4,59,59,7
MotoE,2022,000119,18,0,39,39,10
MotoE,2022,000120,34,2,70.5,70.5,6
MotoE,2022,000121,31,1,8,8,19
MotoE,2022,000122,22,2,10,10,17
MotoE,2022,000123,27,1,25,25,15
MotoE,2022,000152,18,0,1,1,22
MotoGP,2021,000001,42,21,44,44,18
MotoGP,2021,000002,28,8,142,142,7
MotoGP,2021,000004,35,13,6,6,25
MotoGP,2021,000005,35,13,12,12,24
MotoGP,2021,000006,31,11,120,120,8
MotoGP,2021,000007,23,2,208,208,3
MotoGP,2021,000008,25,4,99,99,13
MotoGP,2021,000009,25,1,151,151,6
MotoGP,2021,000010,26,6,181,181,4
MotoGP,2021,000011,29,3,76,76,15
MotoGP,2021,000012,30,7,100,100,12
MotoGP,2021,000013,23,0,102,102,11
MotoGP,2021,000015,23,0,41,41,19
MotoGP,2021,000016,26,2,94,94,14
MotoGP,2021,000017,23,0,111,111,9
MotoGP,2021,000018,30,4,173,173,5
MotoGP,2021,000019,22,2,278,278,1
MotoGP,2021,000020,24,2,252,252,2
MotoGP,2021,000021,26,3,47,47,17
MotoGP,2021,000022,28,1,4,4,26
MotoGP,2021,000027,31,8,14,14,22
MotoGP,2021,000028,34,9,12,12,23
MotoGP,2021,000029,25,1,70,70,16
MotoGP,2021,000030,26,6,106,106,10
MotoGP,2021,000041,25,0,0,0,30
MotoGP,2021,000146,35,10,0,0,28
MotoGP,2021,000147,25,0,0,0,29
MotoGP,2021,000148,21,2,39,39,20
MotoGP,2021,000149,30,9,37,37,21
MotoGP,2021,000150,32,5,1,1,27
MotoGP,2022,000002,29,9,60,60,13
MotoGP,2022,000005,36,14,10,10,22
MotoGP,2022,000006,32,12,151,151,2
MotoGP,2022,000007,24,3,77,77,8
MotoGP,2022,000008,26,5,75,75,9
MotoGP,2022,000009,26,2,93,93,6
MotoGP,2022,000010,27,7,91,91,7
MotoGP,2022,000011,30,4,42,42,16
MotoGP,2022,000012,31,8,40,40,17
MotoGP,2022,000013,24,1,105,105,5
MotoGP,2022,000014,23,0,55,55,14
MotoGP,2022,000015,24,1,52,52,15
MotoGP,2022,000016,27,3,71,71,10
MotoGP,2022,000017,24,1,70,70,11
MotoGP,2022,000018,31,5,114,114,3
MotoGP,2022,000019,23,3,172,172,1
MotoGP,2022,000020,25,3,106,106,4
MotoGP,2022,000021,27,4,25,25,19
MotoGP,2022,000022,29,2,0,0,27
MotoGP,2022,000023,24,0,9,9,23
MotoGP,2022,000024,24,0,10,10,21
MotoGP,2022,000025,21,0,5,5,24
MotoGP,2022,000026,23,0,18,18,20
MotoGP,2022,000027,32,9,0,0,25
MotoGP,2022,000028,35,10,0,0,26
MotoGP,2022,000029,26,2,27,27,18
MotoGP,2022,000030,27,7,62,62,12
