anno,posizioneCalendario,granPremio,nomeUfficiale,numeroEdizione,dataInizio,dataFine,numeroSpettatori,circuito
2021,1,020,Barwa Grand Prix of Qatar,18,2021-03-26,2021-03-28,,001
2022,1,020,Grand Prix of Qatar,19,2022-03-20,2022-03-06,,001
2021,2,021,Tissot Grand Prix of Doha,1,2021-04-02,2021-04-04,,001
2022,2,017,Pertamina Grand Prix of Indonesia,3,2022-03-18,2022-03-20,,002
2021,3,019,Grande Prémio 888 de Portugal,16,2021-04-16,2021-04-18,,005
2022,3,009,Gran Premio Michelin de la República Argentina,17,2022-04-01,2022-04-03,,003
2021,4,006,Gran Premio Red Bull de España,66,2021-04-30,2022-05-02,,006
2022,4,015,Red Bull Grand Prix of The Americas,9,2022-04-08,2022-04-10,,004
2021,5,012,Shark Grand Prix de France,64,2021-05-14,2021-05-16,,007
2022,5,019,Grande Prémio Tissot de Portugal,17,2022-04-22,2022-04-24,,005
2021,6,001,Gran Premio d'Italia Oakley,72,2021-05-28,2021-05-30,,008
2022,6,006,Gran Premio Red Bull de España,67,2022-04-29,2022-05-01,,006
2021,7,014,Gran Premi Monster Energy de Catalunya,26,2021-06-04,2021-06-06,,009
2022,7,012,Shark Grand Prix de France,65,2022-05-13,2022-05-15,,007
2021,8,003,Liqui Moly Motorrad Grand Prix Deutschland,69,2021-06-18,2021-06-20,,010
2022,8,001,Gran Premio d'Italia Oakley,73,2022-05-27,2022-05-29,,008
2021,9,002,Motul TT Assen,72,2021-06-25,2021-06-27,,011
2022,9,014,Gran Premi Monster Energy de Catalunya,27,2022-06-03,2022-06-05,,009
2021,10,022,Michelin Grand Prix of Styria,2,2021-08-06,2021-08-08,,013
2022,10,003,Liqui Moly Motorrad Grand Prix Deutschland,70,2022-06-17,2022-06-19,,010
2021,11,007,Bitci Motorrad Grand Prix von Österreich,30,2021-08-13,2021-08-15,,013
2022,11,002,Motul TT Assen,73,2022-06-24,2022-06-26,,011
2021,12,004,Monster Energy British Grand Prix,43,2021-08-27,2021-08-29,,012
2021,13,016,Gran Premio Tissot de Aragón,12,2021-09-10,2021-09-12,,015
2021,14,008,Gran Premio Octo di San Marino e della Riviera di Rimini,24,2021-09-17,2021-09-19,,014
2021,15,015,Red Bull Grand Prix of the Americas,8,2021-10-01,2021-10-03,,004
2021,16,023,Gran Premio Nolan del Made in Italy e dell'Emilia-Romagna,2,2021-10-22,2021-10-24,,014
2021,17,024,Grande Prémio Brembo do Algarve,1,2021-11-05,2021-11-07,,005
2021,18,013,Gran Premio Motul de la Comunitat Valenciana,23,2021-11-12,2021-11-14,,020
