nomeUfficiale,anno,team,teamManager
American Racing,2021,033,John Hopkins
American Racing,2022,033,John Hopkins
Angeluss MTA Team,2022,023,Alessandro Tonucci
Aprilia Racing,2022,001,Massimo Rivola
Aruba.it Racing,2022,040,
Aspar Team,2021,013,Ángel Nieto Jr.
Boé Owlride,2021,025,
Boé SKX,2022,025,
CarXpert Prüstel GP,2021,016,Florian Prüstel
Cerba Promoracing Team,2021,038,
CFMoto Racing Prüstel GP,2022,016,Florian Prüstel
CIP Green Power,2021,020,
CIP Green Power,2022,020,
Ducati Lenovo Team,2021,002,Davide Tardozzi
Ducati Lenovo Team,2022,002,Davide Tardozzi
Elf Marc VDS Racing Team,2021,028,Joan Olivé
Elf Marc VDS Racing Team,2022,028,Joan Olivé
Esponsorama Racing,2021,022,Raúl Romero
Esponsorama Racing,2022,022,Raúl Romero
Flexbox HP40,2021,027,Sito Pons
Flexbox HP40,2022,027,Sito Pons
GasGas Aspar Team,2022,013,Ángel Nieto Jr.
Gresini Racing,2022,008,Nadia Padovani
Idemitsu Honda Team Asia,2021,026,Hiroshi Aoyama
Idemitsu Honda Team Asia,2022,026,Hiroshi Aoyama
Intact GP,2022,029,Jürgen Lingg
Italtrans Racing Team,2021,030,Laura Bertulessi
Italtrans Racing Team,2022,030,Laura Bertulessi
LCR Honda,2021,010,Lucio Cecchinello
LCR Honda,2022,010,Lucio Cecchinello
Leopard Racing,2021,014,Miodrag Kotur
Leopard Racing,2022,014,Miodrag Kotur
Liqui Moly Intact GP,2021,029,Jürgen Lingg
Monster Energy Yamaha MotoGP,2021,003,Lin Jarvis
Monster Energy Yamaha MotoGP,2022,003,Lin Jarvis
Mooney VR46 Racing Team,2022,009,Pablo Nieto
MT Helmets – MSI,2022,018,
MV Agusta Forward Racing,2021,036,Giovanni Cuzari
MV Agusta Forward Racing,2022,036,Giovanni Cuzari
NTS RW Racing GP,2021,035,Jarno Janssen
Pertamina Mandalika SAG Team,2021,031,Edu Perales
Pertamina Mandalika SAG Team,2022,031,Edu Perales
Petronas Sprinta Racing,2021,037,Razlan Razali
Pramac Racing,2021,007,Paolo Campinoti
Prima Pramac Racing,2022,007,Paolo Campinoti
QJmotor Avintia Racing Team,2022,022,Raúl Romero
Red Bull KTM Ajo,2021,015,Aki Ajo
Red Bull KTM Ajo,2022,015,Aki Ajo
Red Bull KTM Factory Racing,2021,005,Pit Beirer
Red Bull KTM Factory Racing,2022,005,Pit Beirer
Repsol Honda Team,2021,006,Alberto Puig
Repsol Honda Team,2022,006,Alberto Puig
Rivacold Snipers Team	,2021,019,Mirko Cecchini
Rivacold Snipers Team	,2022,019,Mirko Cecchini
RW Racing GP,2022,035,Jarno Janssen
Sic58 Squadra Corse,2021,021,Paolo Simoncelli
Sic58 Squadra Corse,2022,021,Paolo Simoncelli
Sky Racing Team VR46,2021,009,Pablo Nieto
Speed Up,2021,034,Luca Boscoscuro
Speed Up Racing,2022,034,Luca Boscoscuro
Sterilgarda Husqvarna Max,2022,017,Massimiliano Biaggi
Sterilgarda Max Racing Team,2021,017,Massimiliano Biaggi
Team Bardahl VR46 Riders Academy,2021,039,
Team Gresini,2021,008,Nadia Padovani
Team Suzuki Ecstar,2021,004,Shinichi Sahara
Team Suzuki Ecstar,2022,004,Livio Suppo
Tech3 KTM Factory Racing,2021,012,Hervé Poncharal
Tech3 KTM Factory Racing,2022,012,Hervé Poncharal
VisionTrack Racing Team,2022,024,Michael Laverty
VR46 Master Camp Team,2021,032,Tetsu Ono
WithU Yamaha RNF MotoGP Team,2022,011,Razlan Razali
Yamaha VR46 Master Camp Team,2022,032,Tetsu Ono
