idPilota,nome,cognome,luogoDiNascita,nazionalita,dataDiNascita
000001,Valentino,Rossi,Urbino,Italia,1979/02/16
000002,Marc,Márquez,Cervera,Spagna,1993/02/17
000003,Jorge,Lorenzo,Palma de Mallorca,Spagna,1987/05/04
000004,Dani,Pedrosa,Sabadell,Spagna,1985/09/29
000005,Andrea,Dovizioso,Forlimpopoli,Italia,1986/03/23
000006,Aleix,Espargaró,Granollers,Spagna,1989/07/30
000007,Joan,Mir,Palma de Mallorca,Spagna,1997/09/01
000008,Álex,Rins,Barcelona,Spagna,1995/12/08
000009,Brad,Binder,Potchefstroom,Sudafrica,1995/08/11
000010,Jack,Miller,Townsville,Australia,1995/01/18
000011,Takaaki,Nakagami,Chiba,Giappone,1992/02/09
000012,Pol,Espargaró,Granollers,Spagna,1991/06/10
000013,Enea,Bastianini,Rimini,Italia,1997/12/30
000014,Marco,Bezzecchi,Rimini,Italia,1998/11/12
000015,Luca,Marini,Urbino,Italia,1997/08/10
000016,Miguel,Oliveira,Almada,Portogallo,1995/01/04
000017,Jorge,Martín,Madrid,Spagna,1998/01/29
000018,Johann,Zarco,Cannes,Francia,1990/07/16
000019,Fabio,Quartararo,Nice,Francia,1999/04/20
000020,Francesco,Bagnaia,Torino,Italia,1997/01/14
000021,Franco,Morbidelli,Roma,Italia,1994/12/04
000022,Lorenzo,Savadori,Cesena,Italia,1993/04/04
000023,Remy,Gardner,Sydney,Australia,1998/02/24
000024,Darryn,Binder,Potchefstroom,Sudafrica,1998/01/21
000025,Raúl,Fernández,Madrid,Spagna,2000/10/23
000026,Fabio,Di Giannantonio,Roma,Italia,1998/10/10
000027,Stefan,Bradl,Augsburg,Germania,1989/11/29
000028,Michele,Pirro,San Giovanni Rotondo,Italia,1986/07/05
000029,Álex,Márquez,Cervera,Spagna,1996/04/23
000030,Maverick,Viñales,Figueres,Spagna,1995/01/12
000031,Romano,Fenati,Ascoli Piceno,Italia,1996/01/15
000032,Alonso,López,Madrid,Spagna,2001/12/21
000033,Fermín,Aldeguer,Murcia,Spagna,2005/04/05
000034,Sean Dylan,Kelly,Hollywood,Stati Uniti,2002/05/17
000035,Cameron,Beaubier,Roseville,Stati Uniti,1992/12/06
000036,Tony,Arbolino,Garbagnate Milanese,Italia,2000/08/03
000037,Sam,Lowes,Lincoln,Regno Unito,1990/09/14
000038,Jorge,Navarro,"La Pobla de Vallbona
",Spagna,1996/02/03
000039,Arón,Canet,Corbera,Spagna,1999/09/30
000040,Albert,Arenas,Girona,Spagna,1996/12/11
000041,Jake,Dixon,Dover,Regno Unito,1996/01/15
000042,Mattia,Pasini,Rimini,Italia,1985/08/13
000043,Filip,Salač,Mladá Boleslav,Repubblica Ceca,2001/12/12
000044,Alessandro,Zaccone,Rimini,Italia,1999/01/16
000045,Somkiat,Chantra,Chonburi,Tailandia,1998/12/15
000046,Ai,Ogura,Kiyose,Giappone,2001/01/26
000047,Joe,Roberts,Malibu,Stati Uniti,1997/06/16
000048,Lorenzo,Dalla Porta,Prato,Italia,1997/06/22
000049,Marcel,Schrötter,Vilgertshofen,Germania,1993/01/02
000050,Jeremy,Alcoba,Tortosa,Spagna,2001/11/15
000051,Celestino,Vietti,Cirié,Italia,2001/10/13
000052,Niccolò,Antonelli,Cattolica,Italia,1996/02/23
000053,Gabriel,Rodrigo,Barcelona,Argentina,1996/10/12
000054,Bo,Bendsneyder,Rotterdam,Paesi Bassi,1999/03/04
000055,Piotr,Biesiekirski,Warszawa,Polonia,2001/09/25
000056,Augusto,Fernández,Madrid,Spagna,1997/09/23
000057,Pedro,Acosta,Mazarrón,Spagna,2004/05/25
000058,Barry,Baltus,Namur,Belgio,2004/05/03
000059,Zonta,van den Goorbergh,Breda,Paesi Bassi,2005/12/01
000060,Keminth,Kubo,Bangkok,Tailandia,1999/05/21
000061,Stefano,Manzi,Rimini,Italia,1999/03/29
000062,Simone,Corsi,Roma,Italia,1987/04/24
000063,Marcos,Ramírez,Conil de la Frontera,Spagna,1997/12/16
000064,Alex,Toledo,Caldfell,Spagna,2001/10/21
000065,Manuel,González,Madrid,Spagna,2002/08/04
000066,Sergio,García,Burriana,Spagna,2003/03/22
000067,Xavier,Artigas,Barcelona,Spagna,2003/05/27
000068,Carlos,Tatay,Valencia,Spagna,2003/05/07
000069,Izan,Guevara,Palma de Mallorca,Spagna,2004/06/28
000070,Mario,Aji,Madiun,Indonesia,2004/03/16
000071,David,Alonso,Madrid,Colombia,2006/04/25
000072,Taiyo,Furusato,Tokyo,Giappone,2005/07/12
000073,Dennis,Foggia,Roma,Italia,2001/01/07
000074,Tatsuki,Suzuki,Chiba,Giappone,1997/09/24
000075,Andrea,Migno,Cattolica,Italia,1996/01/10
000076,Lorenzo,Fellon,Avignon,Francia,2004/07/15
000077,Riccardo,Rossi,Genova,Italia,2002/03/21
000078,Marcos,Uriarte,Santander,Spagna,2004/12/07
000079,José Antonio,Rueda,Sevilla,Spagna,2005/10/29
000080,Syarifuddin,Azman,Puchong,Malesia,2001/11/24
000081,Alberto,Surra,Torino,Italia,2004/05/31
000082,Scott,Ogden,Doncaster,Regno Unito,2003/10/16
000083,Joshua,Whatley,Chertsey,Regno Unito,2005/09/02
000084,John,McPhee,Oban,Regno Unito,1994/07/14
000085,David,Salvador,Madrid,Spagna,2003/06/27
000086,Ayumu,Sasaki,Yokosuka,Giappone,2000/10/04
000087,Iván,Ortolá,Calicante,Spagna,2004/08/04
000088,Stefano,Nepa,Giulianova,Italia,2001/11/21
000089,Ana,Carrasco,Murcia,Spagna,1997/03/10
000090,David,Muñoz,Brenes,Spagna,2006/05/15
000091,Gerard,Riu,Madrid,Spagna,1999/10/16
000092,Kaito,Toba,Fukuoka,Giappone,2000/04/07
000093,Joel,Kelso,Nambour,Australia,2003/06/12
